geometry,beta,criterion,metric,real,fft_phase_mean,fft_phase_sd,z_vs_fft_phase,exceed_vs_fft_phase
cubic,1.5,score_q,deficit_fill_mean,-0.012322987521702375,-0.023695236201383106,0.007066875992286583,1.6092328053420184,0.875
cubic,1.5,score_q,completion_gain_mean,0.0060158556032065495,0.0037336134117253953,0.0018773933863386167,1.21564409828696,0.75
cubic,1.5,score_q,same_sector_outer,0.962869878044626,0.707731362451433,0.11361332476272505,2.2456742298827144,1.0
cubic,1.5,score_q,same_shell_outer,0.9741582582677684,0.9634284895933912,0.014743040875088213,0.7277853167849372,0.75
cubic,1.5,score_q,deficit_fill_outer,-0.0430683611427083,-0.020761022865063275,0.015588749652137553,-1.4309895773555656,0.125
cubic,1.5,score_q,completion_gain_outer,-0.006295079673855203,0.0037025239348530484,0.003496041074061228,-2.859692833709958,0.0
cubic,1.5,score_q,outer_radius,10.598428401095013,9.994891009674792,0.4928218781026448,1.2246562464771351,0.875
cubic,1.5,score_q,outer_gap,3.35284632010676,3.3720743687220214,0.46013670512902993,-0.04178768700885865,0.25
cubic,1.5,score_iso,n_valid_bands,7.0,7.625,0.6959705453537527,-0.8980265101325843,0.0
cubic,1.5,score_iso,same_sector_mean,0.6703583553738587,0.748685610374288,0.03655427512335391,-2.142765920920824,0.0
cubic,1.5,score_iso,same_shell_mean,0.9449719185801501,0.9780797112982088,0.004177055461906238,-7.926107999299485,0.0
cubic,1.5,score_iso,deficit_fill_mean,-0.012322987521702375,-0.012677812945134575,0.009621559540170323,0.03687816116648392,0.5
cubic,1.5,score_iso,completion_gain_mean,0.0060158556032065495,0.005164788367428575,0.0018657189385741517,0.45616047397376436,0.625
cubic,1.5,score_iso,same_sector_outer,0.962869878044626,0.7388689595550804,0.0501507602571059,4.466550802753588,1.0
cubic,1.5,score_iso,same_shell_outer,0.9741582582677684,0.9631543475624248,0.02391876289214446,0.460053505045509,0.625
cubic,1.5,score_iso,deficit_fill_outer,-0.0430683611427083,-0.008562032783005862,0.017073372091225194,-2.0210611104420195,0.125
cubic,1.5,score_iso,completion_gain_outer,-0.006295079673855203,0.005050220483882305,0.00435812460606496,-2.603252816439812,0.0
cubic,1.5,score_iso,outer_radius,10.598428401095013,9.966414339183103,0.21195633813361034,2.9818125160783224,1.0
cubic,1.5,score_iso,outer_gap,3.35284632010676,4.214878595706255,0.9154735791715919,-0.9416244173628715,0.0
cubic,1.5,q_only,n_valid_bands,7.0,7.375,0.8569568250501305,-0.43759497449317303,0.125
cubic,1.5,q_only,same_sector_mean,0.8072240088692044,0.7146748307741639,0.07482799487791418,1.23682557904702,0.75
cubic,1.5,q_only,same_shell_mean,0.9795299599913451,0.9787227302458102,0.006470726965130923,0.12475101325709193,0.5
cubic,1.5,q_only,deficit_fill_mean,0.005826609604687872,-0.000990111628630174,0.016263898888183467,0.4191320469811579,0.5
cubic,1.5,q_only,completion_gain_mean,0.009463713957487152,0.006988728747705248,0.002324072323917441,1.064934676621918,0.75
cubic,1.5,q_only,same_sector_outer,0.8001560895823648,0.6190125856929162,0.3146031486840005,0.5757841415338801,0.375
cubic,1.5,q_only,same_shell_outer,0.9964368981226035,0.9661909311639396,0.030902970372077267,0.9787397972919211,1.0
cubic,1.5,q_only,deficit_fill_outer,0.01168806670898423,0.011531167437293224,0.03214735758451696,0.0048806273197922615,0.625
cubic,1.5,q_only,completion_gain_outer,0.004589531715307861,0.005688937478293064,0.004233481712534212,-0.25969304638082225,0.375
cubic,1.5,q_only,outer_radius,10.394096166519752,9.961789667934632,0.560412932164198,0.7714070710589624,0.875
cubic,1.5,q_only,outer_gap,4.3211749454341515,3.954944375963117,1.0931495146105548,0.3350233106961336,0.75
cubic,1.5,xyz_only,n_valid_bands,8.0,6.875,0.7806247497997998,1.4411533842439381,0.75
cubic,1.5,xyz_only,same_sector_mean,0.8848906066980012,0.7557006592696459,0.04891856588564563,2.640918536486024,1.0
cubic,1.5,xyz_only,same_shell_mean,0.9805191677695168,0.9722326689299128,0.012540566576052327,0.6607754752299017,0.75
cubic,1.5,xyz_only,deficit_fill_mean,-0.04448224254275332,0.001136514729483718,0.005749463481011374,-7.934437259227171,0.0
cubic,1.5,xyz_only,completion_gain_mean,0.001823150664783615,0.005770746757342086,0.0023469570850904575,-1.682006081813087,0.125
cubic,1.5,xyz_only,same_sector_outer,0.8617925341811691,0.6709047013324062,0.14905635684938012,1.2806420127413443,1.0
cubic,1.5,xyz_only,same_shell_outer,0.9800194922228094,0.9475518676216974,0.04733459165381166,0.6859174964026877,0.75
cubic,1.5,xyz_only,deficit_fill_outer,-0.085773361408564,-0.007001541435500023,0.03081450057241674,-2.556323111107612,0.0
cubic,1.5,xyz_only,completion_gain_outer,-0.0009093709955915884,0.0037445008198024356,0.003267346085776547,-1.4243583911202307,0.0
cubic,1.5,xyz_only,outer_radius,9.886563301500749,9.942544250346106,0.5099240506395618,-0.10978291526950928,0.5
