geometry,beta,criterion,metric,real,fft_phase_mean,fft_phase_sd,z_vs_fft_phase,exceed_vs_fft_phase,n_sur_valid
cubic,1.5,q_only,same_sector,0.9205581905572838,0.5924517187927084,0.2666196076258576,1.2306164377219044,0.9166666666666666,12
cubic,1.5,q_only,same_shell,0.9960086603985695,0.9679068008232868,0.04938589331330829,0.5690260454829289,0.8333333333333334,12
cubic,1.5,q_only,deficit_fill,-0.08772123651356366,-0.04050523711447091,0.050405558257445755,-0.9367220804697947,0.16666666666666666,12
cubic,1.5,q_only,completion_gain,0.0005343607398407469,0.0009853276439962032,0.0018762531954311457,-0.24035503577728654,0.75,12
cubic,1.5,q_only,carrier_vs_space_sector,0.13100071578024008,-0.08937262406904427,0.275980993777945,0.798509117717718,0.75,12
cubic,1.5,q_only,n_band,20.0,25.75,7.1428869046999015,-0.804996645854184,0.16666666666666666,12
cubic,1.5,q_only,inner_r,5.417640805614397,5.934926506369496,1.422325245730421,-0.36369016320812614,0.4166666666666667,12
cubic,1.5,q_only,outer_r,7.737845733025755,8.87842026129262,1.2708318637540328,-0.8975023060066453,0.08333333333333333,12
cubic,1.5,q_only,gap,2.320204927411358,2.9434937549231246,1.3707992983981674,-0.45469006895440445,0.4166666666666667,12
cubic,1.5,q_only,bw_selected,0.005,0.011666666666666665,0.005137011669140813,-1.2977713687934684,0.0,12
cubic,1.5,xyz_only,same_sector,0.3560241046865898,0.5762982500981194,0.21887463473015348,-1.0063941200043356,0.25,12
cubic,1.5,xyz_only,same_shell,0.965508777701428,0.9395668172194666,0.12337013322231591,0.2102774780586732,0.25,12
cubic,1.5,xyz_only,deficit_fill,0.04641959331874013,-0.060462606664412256,0.04918003475469554,2.173284352361592,1.0,12
cubic,1.5,xyz_only,completion_gain,-0.0013470705412607798,0.00020947488239857984,0.0004986497284399869,-3.1215206421699095,0.0,12
cubic,1.5,xyz_only,carrier_vs_space_sector,-0.26923535735438403,-0.06803493573075227,0.22799363444587287,-0.8824826276915883,0.3333333333333333,12
cubic,1.5,xyz_only,n_band,40.0,29.333333333333332,11.010096376609164,0.9688077471625881,0.75,12
cubic,1.5,xyz_only,inner_r,2.598076211353316,5.466601711030729,1.857916119626364,-1.5439477968751052,0.08333333333333333,12
cubic,1.5,xyz_only,outer_r,3.1622646657903473,8.787165309641033,1.5775938095452036,-3.5654936079323822,0.0,12
cubic,1.5,xyz_only,gap,0.5641884544370313,3.3205635986103044,0.9637918635448907,-2.8599278002122595,0.0,12
cubic,1.5,xyz_only,bw_selected,0.03,0.011666666666666667,0.0062360956446232355,2.9398736605652394,1.0,12
cubic,2.0,score_q,same_sector,0.9958996067781214,0.4086686557460878,0.24399186985124635,2.40676441959989,1.0,8
cubic,2.0,score_q,same_shell,0.9984262882274855,0.953377306540497,0.04581801298516163,0.9832155248765274,0.875,8
