geometry,beta,criterion,kind,level,gap,inner_r,outer_r,inner_count,outer_count,same_sector,same_shell,deficit_fill,completion_gain
cubic,0.0,score_iso,fft_phase_2,0.05,3.3022825964296976,5.770900159530462,9.07318275596016,125.0,171.0,0.9342385992097177,0.9911975470746734,-0.0006007625639010417,0.011979762610608959
cubic,0.0,score_iso,fft_phase_2,0.15,3.428193137671176,5.615051906760511,9.043245044431687,87.0,153.0,0.9369194157067585,0.9940077899577809,-0.003678636388607659,0.004352267682079886
cubic,0.0,score_iso,fft_phase_2,0.25,3.5743298863374857,5.077073240339388,8.651403126676874,46.0,102.0,0.90419541514561,0.9942336545810508,-0.0071644237267288816,0.007885454486714297
cubic,0.0,score_iso,fft_phase_2,0.35,3.064068110767134,6.56542775112107,9.629495861888204,28.0,29.0,0.8445020517328945,0.9854571495900871,-0.009903537133680008,6.0729435761418087e-05
cubic,0.0,score_iso,fft_phase_3,0.05,3.3696587967274763,5.854691866592038,9.224350663319514,97.0,140.0,0.9418843281036122,0.9832413042344466,-0.004800560836924997,-0.0029115849879538837
cubic,0.0,score_iso,fft_phase_3,0.15,3.709676803846893,5.284334854212544,8.994011658059437,76.0,116.0,0.9074376529061827,0.9723361527728199,0.0034089264292319274,0.005546429452723125
cubic,0.0,score_iso,fft_phase_3,0.25,3.789875917473415,5.1125935499239965,8.902469467397411,48.0,109.0,0.913339894534118,0.9941154061171521,0.0015067121359825103,-0.002461911307710233
cubic,0.0,score_iso,fft_phase_3,0.35,3.436206248476843,5.583775417239076,9.01998166571592,47.0,75.0,0.8693760739023242,0.9872154028546076,0.005295387232249045,0.0062916438075369535
cubic,0.0,score_iso,fft_phase_3,0.44999999999999996,3.2030263839155033,6.012963433900284,9.215989817815787,30.0,40.0,0.7809701733065735,0.9913870577386691,0.012627250708587594,0.011267318040242292
cubic,0.0,score_iso,fft_phase_3,0.5499999999999999,3.7881761083566294,5.19491259241648,8.98308870077311,11.0,21.0,0.7179838198905247,0.9800009782629706,-0.0036000827763335713,0.006189179272316427
cubic,0.0,score_iso,fft_phase_4,0.05,3.470258918923694,5.876667921476885,9.34692684040058,117.0,107.0,0.9167647597612784,0.9892962719827216,-0.00945284056799759,0.002878647017690316
cubic,0.0,score_iso,fft_phase_4,0.15,3.5863623854981626,5.892729756904913,9.479092142403076,97.0,116.0,0.9250182584395905,0.9848611723008293,-0.004891835319579298,0.0015896500282223426
cubic,0.0,score_iso,fft_phase_4,0.25,3.8516409197290784,5.528894714484084,9.380535634213162,62.0,77.0,0.8651187081098014,0.9726883055023435,0.013137125884793203,0.002629944264867262
cubic,0.0,score_iso,fft_phase_4,0.35,3.731030957813511,6.092865892494572,9.823896850308083,53.0,53.0,0.8844585491115724,0.9873406486319406,0.0023843798201689734,0.004141277574714681
cubic,0.0,score_iso,fft_phase_4,0.44999999999999996,3.622093638369403,5.347915097439946,8.97000873580935,34.0,40.0,0.7868860537366806,0.9682861589297664,0.00970995802641414,-7.297224990758522e-06
cubic,0.0,score_iso,fft_phase_4,0.5499999999999999,3.962774542037229,4.5805918853729715,8.5433664274102,17.0,27.0,0.7584280566891259,0.9846326936194023,-0.04032600021690935,0.007173557437913153
cubic,0.0,score_iso,fft_phase_5,0.05,3.130313055312153,6.559214249650441,9.689527304962594,100.0,115.0,0.8918968270271584,0.9746689331670128,-0.0016051163607152807,0.00237442864918473
cubic,0.0,score_iso,fft_phase_5,0.15,3.4785470503801346,5.989914586825373,9.468461637205507,90.0,112.0,0.9418192222435382,0.9780996519336496,-0.013219465255748276,-0.0012238345663644346
cubic,0.0,score_iso,fft_phase_5,0.25,3.922996046232977,4.96763323979856,8.890629286031537,48.0,94.0,0.9200335063352324,0.9968030868791551,-0.0031787390132142004,-0.0031987758146494617
cubic,0.0,score_iso,fft_phase_5,0.35,3.967099130577087,5.099419274224807,9.066518404801894,44.0,71.0,0.8552979892663691,0.9777337919715072,0.00987259926467518,0.015009531730583739
cubic,0.0,score_iso,fft_phase_5,0.44999999999999996,3.82217762314332,4.969898026010265,8.792075649153585,22.0,37.0,0.7123213747142526,0.9971336264541623,0.012829707923508904,0.011450170191765746
cubic,0.0,score_iso,fft_phase_5,0.5499999999999999,3.365763985239151,5.950513538064892,9.316277523304043,35.0,26.0,0.898251559313093,0.9807798549603671,-0.025672615011329995,0.00016874107274539828
cubic,0.0,score_iso,fft_phase_6,0.05,3.513367675723167,5.530563231602786,9.043930907325953,90.0,139.0,0.943058211689155,0.989770257482415,-0.008261281713957389,0.007468206399792936
