beta,target,same_sector,carrier_vs_space_sector,same_sector_z,carrier_space_z,transition_combo_z,transition_combo_exc,bw_selected,inner_r,outer_r,gap
2.0,0.77,0.8461104117687032,0.025634848088554634,83165567888.45294,27809142647.631413,55487355268.04218,0.8804347826086957,0.0055000000000000005,6.485949832481716,8.674874047165888,2.1889242146841714
2.0,0.78,0.7722697762309213,-0.04915202427101582,94984604227.02974,42603230630.61427,68793917428.822,0.725,0.006935483870967742,6.556054282585147,8.469106073847682,1.913051791262534
2.0,0.79,0.6737044219918137,-0.12364829912669241,90025603381.7573,34530818331.470566,62278210856.61394,0.5,0.006290322580645161,6.36413025243525,8.437677046080774,2.0735467936455243
2.0,0.8,0.6738442653474447,-0.11501285266213528,107912872039.43436,55474629366.60494,81693750703.01964,0.5277777777777778,0.006129032258064516,6.063918385807923,8.222323156620934,2.158404770813012
2.0,0.81,0.6344978621056278,-0.16149313395704865,81010436244.98254,27459713825.74673,54235075035.36465,0.4444444444444444,0.0059,6.390184500612473,8.314072550377059,1.9238880497645865
2.0,0.82,0.6904373241301301,-0.11113084802089067,41747610442.033356,26898373617.5907,34322992029.812027,0.6,0.006125,5.95896856847918,7.854076545467978,1.895107976988798
2.0,0.83,0.6848811498513939,-0.12818699115474871,59386060222.20049,20137834777.71945,39761947499.95998,0.46153846153846156,0.005424242424242424,5.412492656761839,7.854244746975303,2.4417520902134635
2.0,0.84,0.8338977397289572,0.01655023085172228,51858803899.76134,19799385538.43532,35829094719.098335,0.7333333333333333,0.0064375000000000005,5.7619247591004985,7.777308546755118,2.01538378765462
2.0,0.85,0.7889529566784294,0.006261157673298094,-11562062791.485308,-46503747691.699234,-29032905241.59228,0.6176470588235294,0.006387096774193549,5.814309464066128,7.722681609634893,1.9083721455687641
2.0,0.86,0.7206787565510501,-0.07725621860080639,25283058400.75177,9116338821.352179,17199698611.05197,0.22916666666666666,0.008375,6.032322578630904,7.727350831021261,1.6950282523903577
5.0,0.6,0.7965913132497499,-0.07143120785965176,7.070421025401283,0.881748947721828,3.9760849865615557,0.803030303030303,0.0065151515151515155,5.997899604936734,8.08335702443233,2.0854574194955946
5.0,0.61,0.7561399423797891,-0.08556478405164628,5602572073.960917,8497714126.783115,7050143100.372016,0.7794117647058824,0.007176470588235294,6.382400181179319,8.342128283590311,1.9597281024109923
