geometry,beta,criterion,winner_mode_index,winner_q,winner_exact_family,winner_support_family,real_exact,sur_exact_mean,sur_exact_std,z_exact,exact_exceed,sur_exact_p95,triads_exact,eligible_exact,real_support,sur_support_mean,sur_support_std,z_support,support_exceed,sur_support_p95,triads_support,eligible_support
tet_1.10,1.0,score_q,9,Z1,"1-axis:(1,)",1-axis,0.9997083096478405,0.5637751597488186,0.22047535534163137,1.977242078696536,1.0,0.9536705018135736,3,3,0.7206669958587667,0.31845219039665,0.20364277255368393,1.9750998300423868,0.9583333333333334,0.6643293693944516,6,6
tet_1.10,1.0,score_iso,9,Z1,"1-axis:(1,)",1-axis,0.9997083096478405,0.5277004521205239,0.24612367539894167,1.9177669793867727,1.0,0.9531032913669507,3,3,0.7206669958587667,0.3571573276751847,0.23353449943005625,1.5565566075640864,0.9583333333333334,0.7065813233679089,6,6
tet_1.10,1.0,q_only,10,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.4324144124451546,0.5206476300679735,0.2437363063491869,-0.36200276825418987,0.375,0.8445568976586441,2,3,0.4016934527589236,0.3177761213985716,0.2612115961705933,0.32126189108857794,0.625,0.7908971549945458,4,8
tet_1.10,1.0,xyz_only,9,Z1,"1-axis:(1,)",1-axis,0.9997083096478405,0.4965506510607116,0.24071094866316953,2.09029818285962,1.0,0.9332021297696105,3,3,0.7206669958587667,0.3404735107039542,0.21490625405104555,1.7691131737038142,0.9583333333333334,0.6913324282398815,6,6
tet_1.10,1.5,score_q,8,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.9510490040424048,0.49235338382049304,0.2271569494508618,2.019289400252827,0.9791666666666666,0.897512386828058,3,3,0.476341401246813,0.25728289338023824,0.18365976182288674,1.1927408904985528,0.8541666666666666,0.5834059565649528,8,8
tet_1.10,1.5,score_iso,10,Z1,"1-axis:(1,)",1-axis,0.9996957242136424,0.49501201076179874,0.22899256920376143,2.2039305258004402,1.0,0.8620924683902425,3,3,0.7138057189095288,0.3140693594010357,0.22953023889892746,1.74154116435514,0.9375,0.7077037634287933,6,6
tet_1.10,1.5,q_only,9,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.4420726227310378,0.6045630557197184,0.2811102048745321,-0.5780310716952693,0.3125,0.94157915877018,3,3,0.34675241940347723,0.3944070266563983,0.26120238496217274,-0.18244323174782642,0.4375,0.7784908187211247,8,8
tet_1.10,1.5,xyz_only,10,Z1,"1-axis:(1,)",1-axis,0.9996957242136424,0.5661547231470244,0.23490852537087256,1.8455737201546847,1.0,0.962577234191281,3,3,0.7138057189095288,0.33826120305467383,0.2260039119779363,1.6616726346305721,0.9375,0.7333382139105653,6,6
tet_1.10,2.0,score_q,5,X1+Y1+Z2,"3-axis:(1, 1, 2)",3-axis,0.9141520549086667,0.8889000380601805,0.04465490832323964,0.5654925246992138,0.7083333333333334,0.9615034719305442,3,3,0.6738229771142311,0.3868674496538344,0.25264594702116927,1.1358010324037253,0.8333333333333334,0.8431000707266079,8,8
tet_1.10,2.0,score_iso,7,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.40379139169250783,0.509646166013081,0.20894319715667534,-0.5066198649228656,0.375,0.8494308241288498,3,3,0.4302786796386779,0.2853182981205132,0.1951173927152007,0.74293931207358,0.7708333333333334,0.624696381797462,8,8
