geometry,beta,null_type,draw,real_consensus_family,real_consensus_q,surrogate_consensus_family,surrogate_consensus_q,family_match_real,q_match_real,surrogate_consensus_strength,surrogate_q_consensus_strength,real_mean_winner_q_contrast,real_mean_winner_xyz,surrogate_mean_winner_q_contrast,surrogate_mean_winner_xyz
cubic,0.0,fft_phase,14,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940957,0.00011293256141080884
cubic,0.0,fft_phase,15,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940962,0.0001127122007366946
cubic,0.0,fft_phase,16,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.1513992143994095,0.0001170851278990589
cubic,0.0,fft_phase,17,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940957,0.0001151653012673778
cubic,0.0,fft_phase,18,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940957,0.00011505549051510433
cubic,0.0,fft_phase,19,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940957,0.00011271220073669459
cubic,0.0,fft_phase,20,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940954,0.00011715585267996872
cubic,0.0,fft_phase,21,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940965,0.00011451585186500278
cubic,0.0,fft_phase,22,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940954,0.00011420204526631517
cubic,0.0,fft_phase,23,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.1513992143994096,0.00011531848669153047
cubic,1.0,cell_shuffle,0,"3-axis:(1, 2, 2)",X1+Y2+Z2,"1-axis:(1,)",Z1,0.0,0.0,0.75,0.5,0.15573592931177704,5.243303667372475e-05,0.11561204525836363,5.385496565669965e-05
cubic,1.0,cell_shuffle,1,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 1, 1)",X1+Y1+Z1,0.0,0.0,0.75,0.75,0.15573592931177704,5.243303667372475e-05,0.12173129612344785,5.943802271836339e-05
cubic,1.0,cell_shuffle,2,"3-axis:(1, 2, 2)",X1+Y2+Z2,"2-axis:(1, 1)",X1+Y1+Z2,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.16153687735862907,5.622895993249617e-05
cubic,1.0,cell_shuffle,3,"3-axis:(1, 2, 2)",X1+Y2+Z2,"1-axis:(1,)",Y1,0.0,0.0,0.75,0.75,0.15573592931177704,5.243303667372475e-05,0.12797898889799655,6.852064004984834e-05
cubic,1.0,cell_shuffle,4,"3-axis:(1, 2, 2)",X1+Y2+Z2,"2-axis:(1, 2)",X1+Y1+Z1,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.11395305891897782,5.385496565669965e-05
cubic,1.0,cell_shuffle,5,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 1, 2)",X1+Y2+Z1,0.0,0.0,0.75,0.5,0.15573592931177704,5.243303667372475e-05,0.1215936237953318,5.385496565669965e-05
cubic,1.0,cell_shuffle,6,"3-axis:(1, 2, 2)",X1+Y2+Z2,"1-axis:(1,)",Z1,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.11707219147867248,5.622895993249617e-05
cubic,1.0,cell_shuffle,7,"3-axis:(1, 2, 2)",X1+Y2+Z2,"2-axis:(1, 1)",X1+Y1,0.0,0.0,0.75,0.75,0.15573592931177704,5.243303667372475e-05,0.12319530850117422,5.9168596476454464e-05
cubic,1.0,cell_shuffle,8,"3-axis:(1, 2, 2)",X1+Y2+Z2,"2-axis:(1, 1)",X1+Y1,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.12906361089222707,5.9001552632455666e-05
cubic,1.0,cell_shuffle,9,"3-axis:(1, 2, 2)",X1+Y2+Z2,"2-axis:(1, 1)",X1+Y1,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.14355415407220934,5.385496565669965e-05
