geometry,beta,criterion,winner_mode_index,winner_q,winner_family,winner_q_contrast,winner_xyz,real_triad_all,sur_triad_all_mean,sur_triad_all_std,triad_all_z,triad_all_exceed,sur_triad_all_p95,real_triad_topk,sur_triad_topk_mean,sur_triad_topk_std,triad_topk_z,triad_topk_exceed,sur_triad_topk_p95
tet_1.10,2.0,score_q,6,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.113570016422399,6.497677387070181e-05,0.0911422592329948,0.11803956249133467,0.07967682212862368,-0.3375800206311129,0.5,0.3018066076418551,0.03253030135531615,0.2805563904179048,0.215908358894972,-1.1487563072168572,0.0625,0.7678780478508354
tet_1.10,2.0,score_iso,10,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.05081668655891174,9.156003529009037e-05,0.009686250162812573,0.07690547787011023,0.0453924772569068,-1.4808451040329356,0.015625,0.15741218645282926,0.355636486818599,0.29602436922173553,0.21006087912699675,0.2837849572196635,0.671875,0.7967702857138858
tet_1.10,2.0,q_only,4,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.13129461391462813,3.4986468640682515e-05,0.30312648215981186,0.17196914198975666,0.1111526980330495,1.179974417983787,0.859375,0.4162060879218675,0.4620129151906513,0.3190664765798219,0.2328912314391623,0.6137905567627917,0.765625,0.7370658167856077
tet_1.10,2.0,xyz_only,10,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.05081668655891174,9.156003529009037e-05,0.009686250162812573,0.07525035150416413,0.04176572654423015,-1.569806316438647,0.0,0.13819298136685998,0.355636486818599,0.2980957528913444,0.2305671709964096,0.24956169466077666,0.65625,0.7375822552271104
tet_1.10,5.0,score_q,5,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.20338829206773673,0.00018011175076201747,0.42756480453893975,0.24888994627817357,0.16306733531567127,1.095712135810557,0.8125,0.5113214711777708,0.6597987726476487,0.36267839186352246,0.28140200497844403,1.0558573696226168,0.796875,0.8836851343712814
tet_1.10,5.0,score_iso,7,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.11014477498540948,0.00014270528119905378,0.2497297284206028,0.14601461509110847,0.09714222625821686,1.0676625122090386,0.828125,0.2986778243373487,0.4072946840596271,0.25931400700381624,0.1795305405130357,0.82426464395478,0.71875,0.6013749713900227
tet_1.10,5.0,q_only,6,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.20626023352862502,0.00016615673323351678,0.05464447272710637,0.26877918624872865,0.19977451135017857,-1.0718820537881344,0.125,0.6183080429546922,0.02757280476015398,0.33590946138051725,0.2658496577796986,-1.1598158868976711,0.078125,0.878979449624405
tet_1.10,5.0,xyz_only,5,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.20338829206773673,0.00018011175076201747,0.42756480453893975,0.2875043948276668,0.18403775174036047,0.7610417340248125,0.765625,0.5623196075171584,0.6597987726476487,0.40575956269433433,0.2864839520412423,0.886748483265325,0.75,0.8493792807235476
tet_1.10,10.0,score_q,5,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.183566451691485,0.00027280702547916274,0.14513636308777716,0.31374755469422,0.20768042996148717,-0.8118780938430197,0.34375,0.6564485907482336,0.16005566724267262,0.40578144605381705,0.27912603132441954,-0.8803398867684421,0.28125,0.8262222502629866
tet_1.10,10.0,score_iso,7,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.12040306155870506,0.00024880058523611177,0.32023309322210824,0.22722779464473808,0.15708632579798146,0.5920648923725301,0.78125,0.5302054299515744,0.39492738187298726,0.29606685005952343,0.21136047576452807,0.4677342414914621,0.75,0.7281007871653339
