geometry,beta,criterion,winner_family,support_degree,mean_boundary,center_frac,opp_edge,neck_floor_z,pred_support_degree,correct,distance
ortho_1.20_1.50,10.0,q_only,"3-axis:(1, 1, 2)",3,0.0553572968139658,0.0496444035630671,0.5833333333333334,-0.9615920102865461,3,True,1.3396130946592903
ortho_1.20_1.50,10.0,xyz_only,"3-axis:(1, 1, 2)",3,0.0972194272089028,0.0496444035630671,0.5416666666666666,-0.9615920102865461,3,True,1.3340745386192605
tet_1.05,0.0,score_q,"1-axis:(1,)",1,3.621147988472528,0.139909754780879,1.0,1.8158584227682777,1,True,2.0644198712997284
tet_1.05,0.0,score_iso,"1-axis:(1,)",1,3.621147988472528,0.139909754780879,1.0,1.8158584227682777,1,True,2.0644198712997284
tet_1.05,0.0,q_only,"1-axis:(1,)",1,3.621147988472528,0.139909754780879,1.0,1.8158584227682777,1,True,2.0644198712997284
tet_1.05,0.0,xyz_only,"1-axis:(1,)",1,3.621147988472528,0.139909754780879,1.0,1.8158584227682777,1,True,2.0644198712997284
tet_1.05,1.0,score_q,"1-axis:(1,)",1,2.532314012267361,0.2763067103939587,0.1041666666666666,1.485823620439437,1,True,2.280575899013875
tet_1.05,1.0,score_iso,"1-axis:(1,)",1,2.532314012267361,0.2763067103939587,0.125,1.485823620439437,1,True,2.2474907630656484
tet_1.05,1.0,q_only,"1-axis:(1,)",1,2.532314012267361,0.0661184454085287,0.0,0.8884771941934707,1,True,2.0324113784466262
tet_1.05,1.0,xyz_only,"2-axis:(1, 1)",2,2.540545726619672,0.2763067103939587,0.0416666666666666,1.485823620439437,1,False,2.349935300435634
tet_1.05,1.5,score_q,"3-axis:(1, 1, 2)",3,1.717744372399212,0.0073682542240976,1.0,2.7627857444653032,3,True,3.4762822960827444
tet_1.05,1.5,score_iso,"1-axis:(1,)",1,2.0776062421427697,0.2643548733401893,1.0,-0.4327221136471034,2,False,1.699606549332148
tet_1.05,1.5,q_only,"3-axis:(1, 1, 2)",3,1.3128211274701145,0.0073682542240976,0.9375,-0.22225684040683105,3,True,1.2387042859092399
tet_1.05,1.5,xyz_only,"2-axis:(1, 1)",2,2.092217892206085,0.2643548733401893,1.0,-0.4327221136471034,2,True,1.82224722688653
tet_1.05,2.0,score_q,"3-axis:(1, 1, 1)",3,1.7220336576569804,0.0591376900956668,1.0,0.8695019281309424,3,True,1.6181609432522654
tet_1.05,2.0,score_iso,"3-axis:(1, 2, 2)",3,1.70284400679672,0.0644338147022148,1.0,0.28702015874967124,3,True,1.3338795814727749
tet_1.05,2.0,q_only,"3-axis:(1, 1, 1)",3,1.3708503828761749,0.0133371788296967,0.2083333333333333,0.03022772011063018,3,True,1.3662226802624704
tet_1.05,2.0,xyz_only,"3-axis:(1, 1, 1)",3,1.7220336576569804,0.0591376900956668,1.0,-0.36877357373664077,2,False,1.3914506835694849
tet_1.05,5.0,score_q,"3-axis:(1, 2, 2)",3,0.6151303606642549,0.0534740638061023,0.1041666666666666,0.0877041059037984,3,True,1.3992170329280265
tet_1.05,5.0,score_iso,"3-axis:(1, 1, 2)",3,0.4426182657176618,0.1920286555166111,0.1041666666666666,-0.05581901557007193,3,True,1.9550502605759694
tet_1.05,5.0,q_only,"3-axis:(1, 1, 2)",3,0.2281883743295177,0.0137528438203903,0.9166666666666666,-0.43781330844757116,3,True,1.2617032252624185
tet_1.05,5.0,xyz_only,"3-axis:(1, 1, 2)",3,0.4426182657176618,0.1920286555166111,0.0208333333333333,0.0877041059037984,3,True,2.1178784019393815
tet_1.05,10.0,score_q,"3-axis:(1, 1, 1)",3,0.1010521340868562,0.049907342300099,0.6458333333333334,-0.618252468855437,3,True,0.9991310594497802
tet_1.05,10.0,score_iso,"3-axis:(1, 1, 1)",3,0.136618226515087,0.0511488396409903,0.4583333333333333,-0.13228704887057532,3,True,0.7771937888548104
tet_1.05,10.0,q_only,"3-axis:(1, 2, 2)",3,0.1010521340868563,0.0499073422996043,0.3541666666666667,0.2950735874272943,3,True,1.0016210528986682
tet_1.05,10.0,xyz_only,"3-axis:(1, 1, 1)",3,0.136618226515087,0.049907342300099,0.4166666666666667,-0.09813029211644715,3,True,0.8386213220170845
tet_1.10,0.0,score_q,"1-axis:(1,)",1,3.569094970843511,0.1399097547808798,0.9791666666666666,0.026254431746873724,1,True,1.2829228251367513
tet_1.10,0.0,score_iso,"1-axis:(1,)",1,3.569094970843511,0.1399097547808798,0.9791666666666666,0.026254431746873724,1,True,1.2829228251367513
tet_1.10,0.0,q_only,"1-axis:(1,)",1,3.569094970843511,0.1399097547808798,1.0,0.026254431746873724,1,True,1.3280368972762664
