case,label,y,I_norm
coherent_baseline,kohärent,-0.2985714285714286,0.04112466580073079
coherent_baseline,kohärent,-0.2977857142857143,0.041932879145411925
coherent_baseline,kohärent,-0.29700000000000004,0.04271577550401533
coherent_baseline,kohärent,-0.29621428571428576,0.04347160869690644
coherent_baseline,kohärent,-0.2954285714285715,0.04419877881148953
coherent_baseline,kohärent,-0.29464285714285715,0.04489584251738258
coherent_baseline,kohärent,-0.2938571428571429,0.04556152294412235
coherent_baseline,kohärent,-0.2930714285714286,0.046194719076572785
coherent_baseline,kohärent,-0.2922857142857143,0.04679451462428933
coherent_baseline,kohärent,-0.29150000000000004,0.047360186322335754
coherent_baseline,kohärent,-0.29071428571428576,0.04789121162247242
coherent_baseline,kohärent,-0.2899285714285715,0.04838727573520709
coherent_baseline,kohärent,-0.2891428571428572,0.0488482779849478
coherent_baseline,kohärent,-0.28835714285714287,0.049274337442392596
coherent_baseline,kohärent,-0.2875714285714286,0.04966579780033831
coherent_baseline,kohärent,-0.2867857142857143,0.05002323146129957
coherent_baseline,kohärent,-0.28600000000000003,0.050347442807656004
coherent_baseline,kohärent,-0.28521428571428575,0.05063947062753417
coherent_baseline,kohärent,-0.2844285714285715,0.05090058967222422
coherent_baseline,kohärent,-0.2836428571428572,0.0511323113236658
coherent_baseline,kohärent,-0.2828571428571429,0.05133638335337009
coherent_baseline,kohärent,-0.2820714285714286,0.05151478875709541
coherent_baseline,kohärent,-0.2812857142857143,0.0516697436526287
coherent_baseline,kohärent,-0.2805,0.05180369423116038
coherent_baseline,kohärent,-0.27971428571428575,0.051919312755939355
coherent_baseline,kohärent,-0.27892857142857147,0.052019492605176305
coherent_baseline,kohärent,-0.2781428571428572,0.0521073423594877
coherent_baseline,kohärent,-0.2773571428571429,0.05218617893755871
coherent_baseline,kohärent,-0.2765714285714286,0.05225951978711335
coherent_baseline,kohärent,-0.2757857142857143,0.05233107414172116
coherent_baseline,kohärent,-0.275,0.052404733357426264
coherent_baseline,kohärent,-0.27421428571428574,0.05248456034663496
