geometry,beta,consensus_family,consensus_count,consensus_q,consensus_q_count,mean_boundary,mean_q,mean_xyz
ortho_1.20_1.50,7.0,"3-axis:(1, 2, 2)",3,X1+Y2+Z2,3,0.15358538894033083,0.11880366563806569,0.00039835447551030427
ortho_1.20_1.50,10.0,"3-axis:(1, 1, 2)",3,X1+Y2+Z1,3,0.08517988511893299,0.12130626174502372,0.0004960515041806269
tet_1.05,0.0,"1-axis:(1,)",4,Z1,4,3.6211479884725275,0.4149556841819922,0.0002112399709664242
tet_1.05,0.25,"1-axis:(1,)",4,Z1,3,3.3390777988542775,0.33801229126760374,0.0001914992408309927
tet_1.05,0.5,"1-axis:(1,)",4,Z1,3,3.059364780938246,0.24043511873254425,0.00017320122278422298
tet_1.05,0.75,"1-axis:(1,)",4,Z1,3,2.789299196576086,0.20054893738807883,0.000150349334933634
tet_1.05,1.0,"1-axis:(1,)",3,Z1,3,2.5343719408554386,0.14124182587787787,0.00013784589584666415
tet_1.05,1.5,"3-axis:(1, 1, 2)",2,X1+Y1,1,1.8000974085545451,0.11776165717899903,9.935356470029962e-05
tet_1.05,2.0,"3-axis:(1, 1, 1)",3,X1+Y1+Z1,3,1.6294404262467137,0.12613846906149379,0.00016843069378014606
tet_1.05,3.0,"3-axis:(1, 1, 2)",3,X1+Y2+Z1,3,0.9510163214362072,0.12858598094336338,0.00014608063029854495
tet_1.05,4.0,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,0.7482739673710189,0.16889756926167648,0.0002037461942763406
tet_1.05,5.0,"3-axis:(1, 1, 2)",3,X1+Y1+Z2,2,0.43213881660727405,0.1569340740252021,0.0002101553942178048
tet_1.05,7.0,"3-axis:(1, 1, 1)",3,X1+Y1+Z1,3,0.2462105984768504,0.16585656680198047,0.00028008756501519776
tet_1.05,10.0,"3-axis:(1, 1, 1)",3,X1+Y1+Z1,3,0.11883518030097168,0.17163924616939974,0.00038166728785218347
