geometry,beta,branch_id,parent_branch_id,branch_overlap_prev,local_mode_index,eigenvalue,dominant_q,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso,score_q_only,score_xyz_only
cubic,0.75,17,17,0.7665940567154207,17,8.171907502322957,X1,0.14681875258185098,0.00016851823186470207,0.3868757258486453,2.8489594812020607,2.474163658967469e-05,6.519561327138692e-05,0.14681875258185098,0.00016851823186470207
cubic,0.75,16,16,0.8864786442674885,18,8.171907502323023,Y1,0.13998457422896451,0.000176413544242445,0.3942194870551071,2.8489594812020593,2.4695174879001257e-05,6.954565692083011e-05,0.13998457422896451,0.000176413544242445
cubic,0.75,20,20,0.8673122069832394,19,9.723050245232436,X1+Y2+Z2,0.1317636473240965,0.000100235281137171,0.7130253542312655,2.577011074550515,1.3207366233189863e-05,7.147029683930183e-05,0.1317636473240965,0.000100235281137171
cubic,0.75,19,19,0.40264505941978945,20,9.723050245232479,X1+Y1+Z1,0.12758313046945416,0.00013764962863441047,0.6952510855784424,2.5770110643907143,1.7561770529135905e-05,9.570105373754333e-05,0.12758313046945416,0.00013764962863441047
cubic,1.0,1,1,0.9982335526252618,1,1.2671958582610319,X1+Y2+Z1,0.1202634166849343,4.357057162557625e-06,0.9999999999999933,0.8299770403623438,5.239945810607452e-07,4.357057162557596e-06,0.1202634166849343,4.357057162557625e-06
cubic,1.0,4,4,0.9971498818127431,2,2.7898459811235528,X1+Y1+Z2,0.13168255658840838,1.3959065503364295e-05,0.20628768722650023,1.317785218003796,1.838165433068068e-06,2.8795833385322427e-06,0.13168255658840838,1.3959065503364295e-05
cubic,1.0,2,2,0.736256719257566,3,2.7898459811235767,X1+Y2+Z2,0.13180600705986759,1.4793784255343332e-05,0.21371222940874288,1.3177852180037954,1.9499096320019414e-06,3.1616126146013825e-06,0.13180600705986759,1.4793784255343332e-05
cubic,1.0,3,3,0.7352319511610369,4,2.7898459811236003,Y1+Z1,0.11808006523746022,1.2558727224817717e-05,0.36080527171383187,1.3177852180037966,1.4829353300059437e-06,4.531254988730254e-06,0.11808006523746022,1.2558727224817717e-05
cubic,1.0,6,6,0.6511924439274747,5,4.312496103986073,X1,0.13232022240452365,3.1204779489367694e-05,0.3337533950257991,1.8055933956452475,4.129023362117251e-06,1.041470109560789e-05,0.13232022240452365,3.1204779489367694e-05
cubic,1.0,7,7,0.6918676494281384,6,4.31249610398611,Z1,0.11229042316216757,3.370790279648518e-05,0.2514909608002522,1.8055933956452461,3.7850746689265325e-06,8.477232860849566e-06,0.11229042316216757,3.370790279648518e-05
cubic,1.0,5,5,0.8135136428463556,7,4.312496103986158,Y1+Z1,0.1106761359761526,3.50392073999075e-05,0.23497983171112624,1.8055933956452466,3.878004082688774e-06,8.233507058121513e-06,0.1106761359761526,3.50392073999075e-05
