geometry,beta,local_mode_index,eigenvalue,variant,dominant_q,q_family,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso,score_q_only,score_xyz_only
cubic,0.0,7,1.9214719596769365,base_r1,X1+Y2+Z1,"3-axis:(1, 1, 2)",1.8921181872882523e-08,9.650354818402219e-12,0.21959150857492415,3.100981600033719,1.825961186568366e-19,2.1191359728562317e-12,1.8921181872882523e-08,9.650354818402219e-12
cubic,0.0,7,1.9214719596769365,x+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",2.1424244074429932e-08,1.1286987025274474e-11,0.21959150857492415,3.100981600033719,2.418151648944042e-19,2.4785265081456174e-12,2.1424244074429932e-08,1.1286987025274474e-11
cubic,0.0,7,1.9214719596769365,y+_r1,X1+Y2+Z2,"3-axis:(1, 2, 2)",1.7906578181429432e-08,1.0287720344468002e-11,0.21959150857492415,3.100981600033719,1.842178686568984e-19,2.259096030238667e-12,1.7906578181429432e-08,1.0287720344468002e-11
cubic,0.0,7,1.9214719596769365,z+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.2226955891371133e-08,9.482857908525685e-12,0.21959150857492415,3.100981600033719,1.1594648537168346e-19,2.0823550737348055e-12,1.2226955891371133e-08,9.482857908525685e-12
cubic,0.0,7,1.9214719596769365,xy+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",2.467853639229186e-08,1.1475686992384714e-11,0.21959150857492415,3.100981600033719,2.8320315906811647e-19,2.5199634185913936e-12,2.467853639229186e-08,1.1475686992384714e-11
cubic,0.0,7,1.9214719596769365,xz+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.5578775916003824e-08,9.031674996763738e-12,0.21959150857492415,3.100981600033719,1.4070244092075683e-19,1.9832791374977724e-12,1.5578775916003824e-08,9.031674996763738e-12
cubic,0.0,7,1.9214719596769365,yz+_r1,X1,"1-axis:(1,)",1.410542922839695e-08,1.0584138416566035e-11,0.21959150857492415,3.100981600033719,1.4929381537842957e-19,2.324186921859545e-12,1.410542922839695e-08,1.0584138416566035e-11
cubic,0.0,7,1.9214719596769365,xyz+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.405341167889619e-08,1.0380153679438165e-11,0.21959150857492415,3.100981600033719,1.4587657294735356e-19,2.2793936057073763e-12,1.405341167889619e-08,1.0380153679438165e-11
cubic,0.0,7,1.9214719596769365,base_r2,X1+Y1+Z2,"3-axis:(1, 1, 2)",2.73618655680408e-07,3.6969269012953494e-11,0.21959150857492415,3.100981600033719,1.0115481688811698e-17,8.118137553466655e-12,2.73618655680408e-07,3.6969269012953494e-11
cubic,0.0,7,1.9214719596769365,base_avg12,X1+Y2+Z1,"3-axis:(1, 1, 2)",1.0060936226464798e-07,2.275473698514969e-11,0.21959150857492415,3.100981600033719,2.289339576575709e-18,4.996747021794642e-12,1.0060936226464798e-07,2.275473698514969e-11
cubic,0.0,8,2.882207939515427,base_r1,Y1,"1-axis:(1,)",0.15139921439940981,0.000112712200736694,0.9999999999999909,3.713972400291809,1.7064538644764054e-05,0.00011271220073669298,0.15139921439940981,0.000112712200736694
cubic,0.0,8,2.882207939515427,x+_r1,X1,"1-axis:(1,)",0.15139921439940462,0.00011271220073669468,0.9999999999999909,3.713972400291809,1.706453864476357e-05,0.00011271220073669365,0.15139921439940462,0.00011271220073669468
cubic,0.0,8,2.882207939515427,y+_r1,X1,"1-axis:(1,)",0.15139921439941192,0.00011271220073669337,0.9999999999999909,3.713972400291809,1.7064538644764193e-05,0.00011271220073669234,0.15139921439941192,0.00011271220073669337
cubic,0.0,8,2.882207939515427,z+_r1,Y1,"1-axis:(1,)",0.15139921439940496,0.00011271220073669387,0.9999999999999909,3.713972400291809,1.7064538644763485e-05,0.00011271220073669284,0.15139921439940496,0.00011271220073669387
cubic,0.0,8,2.882207939515427,xy+_r1,X1,"1-axis:(1,)",0.1513992143994051,0.00011271220073669607,0.9999999999999909,3.713972400291809,1.7064538644763834e-05,0.00011271220073669504,0.1513992143994051,0.00011271220073669607
cubic,0.0,8,2.882207939515427,xz+_r1,Z1,"1-axis:(1,)",0.15139921439940565,0.00011271220073669345,0.9999999999999909,3.713972400291809,1.70645386447635e-05,0.00011271220073669242,0.15139921439940565,0.00011271220073669345
cubic,0.0,8,2.882207939515427,yz+_r1,Z1,"1-axis:(1,)",0.15139921439940998,0.00011271220073669441,0.9999999999999909,3.713972400291809,1.7064538644764132e-05,0.00011271220073669338,0.15139921439940998,0.00011271220073669441
cubic,0.0,8,2.882207939515427,xyz+_r1,Y1,"1-axis:(1,)",0.1513992143994118,0.00011271220073669346,0.9999999999999909,3.713972400291809,1.7064538644764196e-05,0.00011271220073669243,0.1513992143994118,0.00011271220073669346
cubic,0.0,8,2.882207939515427,base_r2,Z1,"1-axis:(1,)",0.15139926419468325,0.0008507123441230338,0.9999999999999909,3.713972400291809,0.00012879722294156147,0.0008507123441230261,0.15139926419468325,0.0008507123441230338
cubic,0.0,8,2.882207939515427,base_avg12,Y1,"1-axis:(1,)",0.15139926230951742,0.0004817122724298639,0.9999999999999909,3.713972400291809,7.293088269132268e-05,0.0004817122724298595,0.15139926230951742,0.0004817122724298639
cubic,0.0,9,3.8060233744356378,base_r1,X1+Z1,"2-axis:(1, 1)",2.843556099469637e-21,4.5255401792265314e-18,0.9196578788346119,2.452424707512995,1.2868627380034517e-38,4.161948681808282e-18,2.843556099469637e-21,4.5255401792265314e-18
cubic,0.0,9,3.8060233744356378,x+_r1,Y1,"1-axis:(1,)",1.4086918588742892e-21,3.0899761915836876e-18,0.9196578788346119,2.452424707512995,4.3528243051993214e-39,2.8417209500013066e-18,1.4086918588742892e-21,3.0899761915836876e-18
cubic,0.0,9,3.8060233744356378,y+_r1,X1,"1-axis:(1,)",3.336620143657923e-21,5.041540102057596e-18,0.9196578788346119,2.452424707512995,1.6821704259584595e-38,4.6364920763179215e-18,3.336620143657923e-21,5.041540102057596e-18
cubic,0.0,9,3.8060233744356378,z+_r1,X1+Z2,"2-axis:(1, 2)",2.5665831817930133e-21,4.439205561787871e-18,0.9196578788346119,2.452424707512995,1.1393590335406754e-38,4.082550370664645e-18,2.5665831817930133e-21,4.439205561787871e-18
cubic,0.0,9,3.8060233744356378,xy+_r1,X1+Y1+Z1,"3-axis:(1, 1, 1)",2.4563453215728992e-21,3.2787076808682013e-18,0.9196578788346119,2.452424707512995,8.053638272705736e-39,3.015289351106e-18,2.4563453215728992e-21,3.2787076808682013e-18
cubic,0.0,9,3.8060233744356378,xz+_r1,X1+Z1,"2-axis:(1, 1)",2.4124406075696875e-21,4.3227542173357245e-18,0.9196578788346119,2.452424707512995,1.0428387810443825e-38,3.9754549742383456e-18,2.4124406075696875e-21,4.3227542173357245e-18
cubic,0.0,9,3.8060233744356378,yz+_r1,X1+Y2+Z1,"3-axis:(1, 1, 2)",2.459248792619431e-21,4.567703597045412e-18,0.9196578788346119,2.452424707512995,1.123311955607736e-38,4.20072460120401e-18,2.459248792619431e-21,4.567703597045412e-18
cubic,0.0,9,3.8060233744356378,xyz+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.6081115367554136e-21,3.9472990205675955e-18,0.9196578788346119,2.452424707512995,6.347697093998095e-39,3.630164644381136e-18,1.6081115367554136e-21,3.9472990205675955e-18
cubic,0.0,9,3.8060233744356378,base_r2,X1+Y2+Z1,"3-axis:(1, 1, 2)",1.7302136614583774e-20,1.1641118881612879e-17,0.9196578788346119,2.452424707512995,2.014162292362767e-37,1.070584669792565e-17,1.7302136614583774e-20,1.1641118881612879e-17
cubic,0.0,9,3.8060233744356378,base_avg12,X1+Y2+Z1,"3-axis:(1, 1, 2)",6.884056382928192e-21,6.983065103527008e-18,0.9196578788346119,2.452424707512995,4.807181389833822e-38,6.422030840873648e-18,6.884056382928192e-21,6.983065103527008e-18
cubic,0.0,10,3.806023374435658,base_r1,X1+Y2,"2-axis:(1, 2)",4.844571870500476e-22,2.5173819192397806e-18,0.9240698255833463,2.452424707513001,1.2195637633255542e-39,2.3262366710385734e-18,4.844571870500476e-22,2.5173819192397806e-18
cubic,0.0,10,3.806023374435658,x+_r1,Y1+Z2,"2-axis:(1, 2)",6.491652177145126e-22,2.3601161353662323e-18,0.9240698255833463,2.452424707513001,1.532105304846554e-39,2.1809121055643156e-18,6.491652177145126e-22,2.3601161353662323e-18
cubic,0.0,10,3.806023374435658,y+_r1,Y1+Z2,"2-axis:(1, 2)",6.825411979956126e-22,2.2098148446145523e-18,0.9240698255833463,2.452424707513001,1.5082896713917052e-39,2.042023218034459e-18,6.825411979956126e-22,2.2098148446145523e-18
cubic,0.0,10,3.806023374435658,z+_r1,X1+Z1,"2-axis:(1, 1)",1.6170167164806672e-21,3.0860547427538067e-18,0.9240698255833463,2.452424707513001,4.9902021070073506e-39,2.8517300678771687e-18,1.6170167164806672e-21,3.0860547427538067e-18
cubic,0.0,10,3.806023374435658,xy+_r1,Y1,"1-axis:(1,)",9.827337221647645e-22,2.8105180621710465e-18,0.9240698255833463,2.452424707513001,2.7619908764486534e-39,2.5971149355092434e-18,9.827337221647645e-22,2.8105180621710465e-18
cubic,0.0,10,3.806023374435658,xz+_r1,X1+Y2+Z1,"3-axis:(1, 1, 2)",6.444991307710654e-22,2.8024555633768113e-18,0.9240698255833463,2.452424707513001,1.806180174620891e-39,2.5896646236546885e-18,6.444991307710654e-22,2.8024555633768113e-18
cubic,0.0,10,3.806023374435658,yz+_r1,X1+Z2,"2-axis:(1, 2)",1.1786578454666127e-21,3.9105942595199094e-18,0.9240698255833463,2.452424707513001,4.60925260441984e-39,3.6136621553217976e-18,1.1786578454666127e-21,3.9105942595199094e-18
cubic,0.0,10,3.806023374435658,xyz+_r1,X1+Z2,"2-axis:(1, 2)",1.903686409313229e-21,3.378751683416126e-18,0.9240698255833463,2.452424707513001,6.432083660163473e-39,3.122202478783777e-18,1.903686409313229e-21,3.378751683416126e-18
cubic,0.0,10,3.806023374435658,base_r2,X1+Y2+Z2,"3-axis:(1, 2, 2)",5.845853343797217e-21,5.446108134938761e-18,0.9240698255833463,2.452424707513001,3.183714945131298e-38,5.032584194360904e-18,5.845853343797217e-21,5.446108134938761e-18
cubic,0.0,10,3.806023374435658,base_avg12,X1+Y2+Z2,"3-axis:(1, 2, 2)",1.7698560610701292e-21,3.101081734669911e-18,0.9240698255833463,2.452424707513001,5.488468303979412e-39,2.8656160576761255e-18,1.7698560610701292e-21,3.101081734669911e-18
cubic,1.0,1,1.2671958582611145,base_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.12026341668494375,4.357057162556983e-06,0.9999999999999933,0.8299770403623407,5.239945810607092e-07,4.357057162556954e-06,0.12026341668494375,4.357057162556983e-06
cubic,1.0,1,1.2671958582611145,x+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.12026341668498017,4.357057162557067e-06,0.9999999999999933,0.8299770403623407,5.239945810608779e-07,4.357057162557038e-06,0.12026341668498017,4.357057162557067e-06
cubic,1.0,1,1.2671958582611145,y+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.12026341668492893,4.357057162559095e-06,0.9999999999999933,0.8299770403623407,5.239945810608985e-07,4.357057162559066e-06,0.12026341668492893,4.357057162559095e-06
cubic,1.0,1,1.2671958582611145,z+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.12026341668497689,4.357057162556601e-06,0.9999999999999933,0.8299770403623407,5.239945810608076e-07,4.357057162556572e-06,0.12026341668497689,4.357057162556601e-06
