x,y,u_abs,u_abs_norm,carrier_ge_075,transition_077_085
0.0,0.06171428571428572,0.0,0.0,0,0
0.0,0.07200000000000001,0.0,0.0,0,0
0.0,0.0822857142857143,0.0,0.0,0,0
0.0,0.09257142857142858,0.0,0.0,0,0
0.0,0.10285714285714287,0.0,0.0,0,0
0.0,0.11314285714285716,0.0,0.0,0,0
0.0,0.12342857142857144,0.0,0.0,0,0
0.0,0.13371428571428567,0.0,0.0,0,0
0.0,0.14400000000000002,0.0,0.0,0,0
0.0,0.15428571428571425,0.0,0.0,0,0
0.0,0.1645714285714286,0.0,0.0,0,0
0.0,0.17485714285714282,0.0,0.0,0,0
0.0,0.18514285714285716,0.0,0.0,0,0
0.0,0.1954285714285714,0.0,0.0,0,0
0.0,0.20571428571428574,0.0,0.0,0,0
0.0,0.21599999999999997,0.0,0.0,0,0
0.0,0.2262857142857143,0.0,0.0,0,0
0.0,0.23657142857142854,0.0,0.0,0,0
0.0,0.24685714285714289,0.0,0.0,0,0
0.0,0.2571428571428571,0.0,0.0,0,0
0.0,0.26742857142857146,0.0,0.0,0,0
0.0,0.2777142857142857,0.0,0.0,0,0
0.0,0.28800000000000003,0.0,0.0,0,0
0.0,0.29828571428571427,0.0,0.0,0,0
0.0,0.3085714285714285,0.0,0.0,0,0
0.0,0.31885714285714284,0.0,0.0,0,0
0.0,0.32914285714285707,0.0,0.0,0,0
0.0,0.3394285714285714,0.0,0.0,0,0
0.0,0.34971428571428564,0.0,0.0,0,0
0.0,0.36,0.0,0.0,0,0
0.010101010101010102,-0.36,0.0,0.0,0,0
0.010101010101010102,-0.3497142857142857,1.1676929635514457e-05,0.03938477122126309,0,0
0.010101010101010102,-0.3394285714285714,2.2109056628229996e-05,0.07457098435983041,0,0
0.010101010101010102,-0.3291428571428571,3.0226692125529983e-05,0.10195071746590204,0,0
0.010101010101010102,-0.31885714285714284,3.5314695379861326e-05,0.11911189342566908,0,0
0.010101010101010102,-0.30857142857142855,3.7212894509868414e-05,0.12551427322937644,0,0
0.010101010101010102,-0.29828571428571427,3.6582187227971425e-05,0.12338697925908927,0,0
0.010101010101010102,-0.288,3.52565013992543e-05,0.11891561266658224,0,0
0.010101010101010102,-0.2777142857142857,3.62141995904848e-05,0.12214580462097342,0,0
0.010101010101010102,-0.2674285714285714,4.1803802096212074e-05,0.14099880988669955,0,0
0.010101010101010102,-0.2571428571428571,5.154687780451336e-05,0.17386094229142102,0,0
0.010101010101010102,-0.24685714285714283,6.316531078710971e-05,0.21304841187909523,0,0
0.010101010101010102,-0.23657142857142857,7.441483410225444e-05,0.2509915969410064,0,0
0.010101010101010102,-0.22628571428571428,8.360223294566615e-05,0.28197950325378823,0,0
0.010101010101010102,-0.216,8.958347974927806e-05,0.3021534740090541,0,0
0.010101010101010102,-0.2057142857142857,9.172669698206307e-05,0.3093822681377761,0,0
0.010101010101010102,-0.19542857142857142,8.98872648464214e-05,0.3031781017943437,0,0
0.010101010101010102,-0.18514285714285714,8.437316156051907e-05,0.2845797456181476,0,0
0.010101010101010102,-0.17485714285714285,7.588820321104207e-05,0.25596108010870394,0,0
0.010101010101010102,-0.16457142857142856,6.54532018800598e-05,0.2207651721994579,0,0
0.010101010101010102,-0.15428571428571428,5.431082730002511e-05,0.18318338594277045,0,0
0.010101010101010102,-0.144,4.381155245307406e-05,0.14777069178910643,0,0
0.010101010101010102,-0.1337142857142857,3.523195113585105e-05,0.11883280780796444,0,0
0.010101010101010102,-0.12342857142857142,2.9396207131082527e-05,0.09914959914713399,0,0
0.010101010101010102,-0.11314285714285716,2.6150352686675185e-05,0.08820175252127986,0,0
0.010101010101010102,-0.10285714285714287,2.441980319681108e-05,0.08236483323917027,0,0
0.010101010101010102,-0.09257142857142858,2.318677088646933e-05,0.0782059749633153,0,0
0.010101010101010102,-0.0822857142857143,2.2323502412080946e-05,0.07529428221294468,0,0
0.010101010101010102,-0.07200000000000001,2.26206597378834e-05,0.07629655538395505,0,0
0.010101010101010102,-0.06171428571428572,2.4990177520128205e-05,0.0842886319547166,0,0
0.010101010101010102,-0.051428571428571435,2.941646957500316e-05,0.09921794174601124,0,0
0.010101010101010102,-0.04114285714285715,3.497002131147068e-05,0.11794935243645385,0,0
0.010101010101010102,-0.03085714285714286,4.052550917904384e-05,0.1366872934463409,0,0
0.010101010101010102,-0.020571428571428574,4.515169696296568e-05,0.1522908256404729,0,0
