geometry,beta,criterion,target,same_sector,carrier_vs_space_sector,same_sector_z,carrier_space_z,transition_combo_z,transition_combo_exc,bw_selected,inner_r,outer_r,gap
tet_1.20,2.0,score_iso,0.84,0.9905205115946748,0.02838052991670592,,,,,0.005,6.689544080129826,9.789945877347806,3.1004017972179803
tet_1.20,2.0,score_iso,0.85,0.9943946461537446,0.03698316736240603,848182866770.567,501722661785.9463,674952764278.2566,1.0,0.01,9.630680142129112,10.136567466356647,0.505887324227535
tet_1.20,2.0,score_iso,0.86,0.9560926777275355,-0.01001648871050198,,,,,0.013,8.52936105461599,9.630680142129112,1.1013190875131222
tet_1.20,2.0,q_only,0.6,0.7746448021518028,-0.08966247389977933,2.7257027092791506,2.0505702876111163,2.3881364984451334,1.0,0.003,6.370506222915094,8.750956798773311,2.380450575858217
tet_1.20,2.0,q_only,0.61,0.7280501363264499,-0.11306596770831445,2.3644231260296706,1.5420016545607984,1.9532123902952345,1.0,0.003,8.404368741556004,9.312715460248965,0.908346718692961
tet_1.20,2.0,q_only,0.62,0.7491078144238471,-0.022440375098167875,1.1645771366697188,1.0382075687618857,1.1013923527158023,1.0,0.005,5.777806441898076,10.03545126584118,4.257644823943104
tet_1.20,2.0,q_only,0.63,0.8504184955719132,-0.04202612980993292,9.470097818621538,13.217466731633772,11.343782275127655,1.0,0.003,5.026444295025996,7.277078650722107,2.2506343556961106
tet_1.20,2.0,q_only,0.64,0.7872125744015472,-0.04691361476672129,5.656317605227174,12.814009340468997,9.235163472848086,1.0,0.003,6.495933556568733,9.259972162429781,2.7640386058610478
tet_1.20,2.0,q_only,0.65,0.8206583441446054,0.0042672343056630035,6.693240788116154,8.617336157242981,7.655288472679567,1.0,0.003,6.603534910439418,7.791408896811724,1.1878739863723062
tet_1.20,2.0,q_only,0.66,0.9382968659112005,0.06324603400939577,3.9966758392430513,4.955131437391622,4.4759036383173365,1.0,0.005,6.880297876525751,9.332964260486317,2.4526663839605662
tet_1.20,2.0,q_only,0.67,0.8150505032896311,-0.005835665009886748,1.5873819672974636,0.3040291265154511,0.9457055469064574,0.75,0.005,6.355672662829243,9.833001564812825,3.477328901983582
tet_1.20,2.0,q_only,0.68,0.648099933371146,-0.12827937054291416,4.578006360911583,1.2256351364156273,2.9018207486636047,1.0,0.003,7.87005792844764,9.88362380424288,2.0135658757952406
tet_1.20,2.0,q_only,0.69,0.8253564989540761,0.005930374059519239,1.609953820801367,1.0205373858933717,1.3152456033473694,1.0,0.005,5.682505011936506,8.887246702653014,3.2047416907165083
tet_1.20,2.0,q_only,0.7,0.5496492924221367,-0.2149350717849997,1.2486610762225772,-0.6603560902711997,0.29415249297568874,0.75,0.005,5.073488700963701,7.727374672768556,2.653885971804855
